Item,BIB ID,Title,Author,Call Number,Number of Loans in 2025,Notes,URL in HKPL online catalogue
70,3298143,Sense and sensibility,"Austen, Jane, 1775-1817.",F AUS,212,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3298143
71,3709818,People we meet on vacation,"Henry, Emily",F HEN,210,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3709818
72,1994120,The unbearable lightness of being,"Kundera, Milan",F KUN,209,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:1994120
73,2771424,A thousand splendid suns,"Hosseini, Khaled",F HOS,208, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2771424
74,3748509,We solve murders,"Osman, Richard, 1970-",F OSM,207,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3748509
75,3339250,The girl on the train,"Hawkins, Paula",F HAW,205,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3339250
76,3487686,The seven husbands of Evelyn Hugo: a novel,"Reid, Taylor Jenkins",F REI,205, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3487686
77,3750526,The city and its uncertain walls,"Murakami, Haruki, 1949-",F MUR,203, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3750526
78,3698185,The man who died twice,"Osman, Richard, 1970-",F OSM,201,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3698185
79,3478389,How to stop time,"Haig, Matt, 1975-",F HAI,198, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3478389
80,3638446,The judge's list,"Grisham, John",F GRI,192, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3638446
81,3428440,A gentleman in Moscow,"Towles, Amor",F TOW,190, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3428440
82,3678953,Book lovers,"Henry, Emily",F HEN,190, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3678953
83,3699319,Third girl,"Christie, Agatha, 1890-1976",F CHR,189,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3699319
84,3742614,The god of the woods,"Moore, Liz, 1983-",F MOO,188, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3742614
85,3746368,Here one moment: a novel,"Moriarty, Liane",F MOR,187, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3746368
86,3529876,The deer and the cauldron: a martial arts novel,"Jin, Yong, 1924-2018",F JIN,187, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3529876
87,3497801,Eleanor Oliphant is completely fine,"Honeyman, Gail",F HON,185, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3497801
88,3345194,One hundred years of solitude,"García Márquez, Gabriel, 1927-2014",F GAR,185,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3345194
89,3438553,The hound of the Baskervilles,"Doyle, Arthur Conan, 1859-1930.",F DOY,184,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3438553
90,3711939,The secret: a Jack Reacher novel,"Child, Lee",F CHI,182, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3711939
91,3746622,The wedding people: a novel,"Espach, Alison, 1984-",F ESP,180, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3746622
92,3727122,The housemaid,"McFadden, Freida",F MACF,179, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3727122
93,3217500,A game of thrones,"Martin, George R. R.",F MAR,178,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3217500
94,1464978,Taipei people (Taipei jen) = 臺北人,"Bai, Xianyong, 1937-",F BAI,178,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:1464978
95,3566857,The guardians,"Grisham, John",F GRI,177,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3566857
96,3372485,The three-body problem,"Liu, Cixin",F LIU,177, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3372485
97,3669317,The bullet that missed,"Osman, Richard, 1970-",F OSM,176,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3669317
98,3694447,The seven dials mystery,"Christie, Agatha, 1890-1976",F CHR,176,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3694447
99,3471383,IT,"King, Stephen, 1947-",F KIN,174,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3471383
100,3752492,To die for,"Baldacci, David.",F BAL,174, ,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3752492
,,,,,,,
,,,,,,,
Notes,,,,,,,
[1],Including books of different editions/years of publication of the same title (only the information of the first volume will be provided if the books were published with multiple volumes). ,,,,,,
[2],"For a series of books under the same title, only the information of the books with the highest circulation will be provided.",,,,,,
